Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B157_1,B157_2,B212_1,B212_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B262_1,B262_2,B264_1,B264_2
C3289,7917,280,282,104,104,163,171,203,203,160,166,213,213,170,183,333,333,187,187,340,344,221,221
C3169,7917,254,278,128,128,177,177,207,209,160,166,217,217,170,177,333,341,181,187,340,340,221,237
C3199,7917,272,282,122,124,163,175,0,0,166,168,215,245,170,177,333,341,185,191,317,340,221,235
C3224,7917,268,280,122,130,163,163,205,205,160,160,213,239,183,183,333,339,169,187,326,334,239,239
C3320,7917,256,278,124,128,161,177,203,207,160,166,217,235,170,179,327,333,181,189,338,350,221,237
C4707,125147,248,278,122,136,161,171,207,217,158,171,207,240,177,177,331,337,193,193,317,317,223,237
C4747,125147,260,260,128,132,161,163,203,209,164,169,240,240,183,187,333,335,169,187,315,340,225,235
C4772,125147,248,280,122,128,155,161,207,211,157,167,215,240,171,181,333,341,183,187,317,334,221,237
C4781,125147,250,250,116,128,163,185,209,219,164,167,221,221,181,183,331,337,169,183,317,317,221,235
C4782,125147,254,254,120,124,155,165,207,207,157,160,221,233,185,185,333,333,181,181,317,318,235,237
C4787,125147,272,286,104,124,163,163,205,209,158,160,211,236,171,181,335,335,169,187,317,330,235,237
C4790,125147,260,274,128,130,155,179,201,203,161,167,223,223,187,189,333,337,183,183,315,317,221,227
C4803,125147,248,276,122,124,155,171,207,209,160,167,217,217,181,185,333,333,187,191,315,320,221,235
C4813,125147,252,260,104,104,161,179,199,211,162,167,211,217,177,185,333,341,169,187,338,340,221,239
C4837,125147,248,252,128,150,161,163,207,211,161,167,213,213,177,179,333,333,187,189,317,318,235,235
C4838,125147,248,272,120,124,161,167,199,207,161,167,205,243,177,183,331,335,169,191,326,330,227,235
C4843,125147,252,260,104,130,155,175,197,207,161,167,229,229,170,195,333,337,187,193,317,330,221,227
C4857,125147,272,276,104,120,155,165,203,205,164,167,205,205,170,187,333,335,169,169,317,330,221,237
C4828,125147,248,276,128,136,159,175,207,209,160,169,213,229,177,191,333,333,169,183,334,340,221,225
C4835,125147,248,272,104,124,163,171,203,211,167,169,229,233,179,187,335,343,181,187,317,317,221,221
C4836,125147,248,248,104,136,165,175,0,0,161,162,211,229,171,185,329,339,169,191,317,317,221,235
C4842,125147,252,270,120,134,163,163,197,203,158,167,211,237,171,177,333,343,187,193,325,330,227,227
C4863,125147,258,258,146,150,0,0,205,207,157,167,241,245,181,185,337,339,183,183,325,340,235,237
C4744,125147,270,278,120,128,161,169,207,209,158,161,213,213,179,193,333,339,169,169,318,330,227,227
C4745,125147,248,270,120,128,165,171,205,211,167,167,217,236,171,185,339,339,169,183,336,340,221,229
C4768,125147,248,270,122,128,161,165,207,211,164,167,215,215,179,189,331,335,185,185,317,317,235,235
C4769,125147,248,272,104,124,159,165,203,207,167,169,215,221,171,185,335,337,169,189,330,330,221,227
C4771,125147,248,276,124,130,159,167,199,207,164,171,221,237,185,185,333,335,183,187,317,317,235,235
C4784,125147,248,254,128,136,171,179,205,207,160,167,215,227,187,187,333,335,181,183,330,330,235,235
C4785,125147,254,276,132,136,163,165,199,207,154,160,205,227,187,191,333,341,173,183,317,330,221,235
C4795,125147,256,264,104,130,165,185,219,219,160,166,213,219,183,185,329,331,167,167,317,317,221,235
C4796,125147,256,276,124,130,161,161,199,203,157,160,209,221,171,189,331,333,169,187,317,317,235,237
C4800,125147,252,254,104,124,159,173,199,207,161,167,236,236,181,193,335,335,179,197,336,336,221,235
C4801,125147,248,264,128,128,163,163,211,217,164,167,215,223,171,177,341,343,169,183,330,336,227,227
C4802,125147,248,256,122,128,163,177,205,207,160,160,225,225,171,187,333,343,181,183,317,330,221,235
C4805,125147,248,260,124,134,159,159,199,203,157,161,215,215,183,185,333,333,187,187,330,344,235,237
C4806,125147,262,262,122,134,159,159,207,217,164,167,217,229,171,171,331,333,169,181,317,334,235,235
C4850,125147,256,270,104,130,167,181,211,217,157,167,221,245,170,183,331,341,169,187,317,338,221,229
C4748,126147,254,262,124,128,163,175,207,209,167,169,233,233,187,187,337,339,167,167,317,317,227,227
C4753,126147,256,260,120,128,165,165,199,199,158,161,225,225,185,187,327,341,169,169,317,336,235,237
C4754,126147,248,252,122,128,163,163,203,205,167,171,209,215,171,189,337,341,169,189,317,318,235,237
C4760,126147,256,276,104,104,163,187,205,205,169,171,217,217,185,187,333,333,187,189,317,317,235,237
C4761,126147,248,262,130,132,159,171,199,207,161,167,217,223,177,183,333,343,169,191,330,338,237,237
C4762,126147,268,268,104,104,165,165,203,207,167,167,219,240,171,187,335,335,183,187,317,317,235,235
C4791,126147,248,248,104,124,167,167,207,217,161,167,215,229,171,179,335,343,169,183,317,340,235,245
C4810,126147,252,272,122,136,165,175,199,207,160,166,233,233,177,189,327,333,185,187,340,340,235,237
C4812,126147,248,262,130,130,167,167,203,207,164,167,225,237,183,187,333,333,169,187,317,336,235,235
C4821,126147,248,262,104,120,165,171,205,207,167,171,233,233,177,177,337,341,183,187,336,336,225,225
C4864,126147,248,282,120,130,159,179,203,211,167,171,205,205,177,179,333,333,169,187,317,325,235,235
C4866,126147,254,262,130,130,159,165,207,209,167,169,237,237,181,183,331,333,169,169,334,334,227,227
